icon,label,desc,gradient,bgImage,link
TrendingUp,"Increase Your Artistic Brand Earnings by 80%","Premium artistic brands follow strategic steps to grow their brand value win international awards perform at prestigious concerts and receive accolades that set them apart — IICA makes this your reality.","from-[#C13584] to-[#E1306C]",https://images.unsplash.com/photo-1501386761578-eac5c94b800a?w=800&q=80,/increase-earnings
RefreshCw,"Prepare to Succeed as Performing Arts Professionals","India's performing arts market was valued at $3.8 billion in 2023 and is expected to reach $7 billion by 2027. The worldwide arts industry is worth $1.5 trillion.","from-[#833AB4] to-[#C13584]",https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=800&q=80,/relaunch-brand
