name,slug,profession,instrument,style,city,country,tags,bio,image,journey,youtubevideo
Aniket Chakravarty,aniket-chakravarty,"Sarod | Educator | LIVE Concert Performer",Sarod,IndianClassical,Kolkata,India,#IndianClassical #Sarod,"Aniket Chakravarty is one of the most leading and nationally acclaimed young Sarod exponents from Kolkata West Bengal India.","/images/artists/aniket.png","## Early Life and Musical Roots
Aniket Chakravarty is one of the most leading and nationally acclaimed young Sarod exponents from Kolkata, west Bengal, India. Aniket is quite adept in handling sitar and sarod blending the traditional manner with the essence of Maihar-Senia gharana. Following the footsteps of his guru, today, Aniket's renditions are characterized by a unique blend of the Sarod, Sitar, and Violin styles of Hindustani classical music. His instinct of aesthetical arara-daraya (progression of notes) and skilful stkara-taana (superfastness notes combination with Dara / Din) coupled with his incredible control over sur and laya have enthralled audiences in various parts of India and abroad.

The music in Aniket's music exhibits the influence of his idols, Ustad Ali Akbar Khan, Ustad Bahadur Khan, and of course his guru, Dr. Pandit Ranjit Sengupta. He is also a studio session artist collaborating with distinct groups, musical personalities and imparts Sarod training to the younger generation of aspirants.

Aniket was born into a music-enthusiastic family, in Jhargram, West Bengal, India. He initially underwent vocal training at age 6 under his mother's guidance before anchoring himself into the Sarod. Aniket started learning Sarod at the age of 11 from Sri Alok Lahiri. At the age of 13, he played for Doordarshan (National Television) for the first time. His further training was undertaken by the eminent Sarod maestro Dr. Pandit Ranjit Sengupta, who continues to instruct him to the present day under the traditional Maihar-Senia gharana. Moreover, Aniket attended several workshops of the legendary maestros late Pandit V. Balsara, Ustad Aashish Khan, and late Pandit Buddhadev Dasgupta.

## Career and Achievements
Rigorous and intensive training followed, and Aniket was lauded for his excelite performance by many connoisseurs of music. Many accolades and awards followed. He was awarded the national scholarship by the Ministry of Culture (Government of India) at the age of 20 and was subsequently specially invited to participate in 'Pratibha Utsav' for his outstanding performances.

Aniket is an ICCR (Indian council for cultural relations) empanelled & Graded artist of All India Radio (AIR) and Doordarshan. He has already become a regular performer as a soloist & also as a duet with several sitarists and top-grade musicians all over India and abroad. He has achieved the rare opportunity to ably support his Guru Pt. Ranjait Sengupta on duet Sarode in several prestigious concerts. He presented many memorable programs for All India Radio. He is a recipient of many awards including which 'Ali Akbar Khan memorial award' from the MAIPAR (Monomanjari institute of performing arts and research) and 'The Best Young Talent' award from the Sarbabharatiya sangeet o sangkrit parishad to name a few.

## Sur Sadhak Festival
Aniket was introduced to music by his mother Smt. Nandita Chakravarty at a very early age. Having a music-enthusiastic family he got a very musical environment from his parents during his childhood. Later he was introduced to the Sarod by the wish of his father Sri Sabal Kumar Chakravarty, who was a former deputy director of the information and cultural affairs department of the West Bengal government.

As days passed Aniket discovered his keen interest in music and the Sarode became his inseparable part of life from childhood affections to considered dedication. As a young aspirant in Indian Classical Music, Aniket realised that the awareness of Indian classical music should be more popularized among the younger generation as well as familiar people.

With that essence, Aniket has introduced his brand-child 'SUR SADHAK FESTIVAL' An annual classical music conference. He and his wife Mrs. Poulami Chakravarty started the music conference in the year 2022 to promote and encourage classical music and musicians by providing a modern platform and enhancing the popularity of classical music to the people.",dQw4w9WgXcQ
Debasmita Bhattacharya,debasmita-bhattacharya,"Sarod Player | Performer",Sarod,IndianClassical,Kolkata,India,#IndianClassical #Sarod,"Debasmita Bhattacharya is an extraordinary Sarod virtuoso known for her innovative approach to Indian classical music.",/images/artists/debasmita.png,,dQw4w9WgXcQ
Sandeep Vasishta,sandeep-vasishta,"Bansuri Player | Educator",Bansuri,IndianClassical,Bangalore,India,#IndianClassical #Bansuri,"Sandeep Vasishta is a renowned Bansuri player from Bangalore.",/images/artists/sandeep.png,,dQw4w9WgXcQ
